,concepts,sentence
1404,['come' 'land' 'plane'],the entrance as a plane comes to land
1405,['come' 'land' 'plane'],a plane comes into land are seen from the air
1406,['day' 'road' 'tree'],road with trees on a sunny day in autumn
1407,['day' 'road' 'tree'],baobab trees along the rural road at sunny day
1408,['day' 'road' 'tree'],Downtown road empty during the day with palm trees on it. 
1409,['fill' 'item' 'room'],stacks of boxes and other items fill a room
1410,['fill' 'item' 'room'],The room is filled with remarkable items well suited.
1411,['fill' 'item' 'room'],A room filled with different types of items all around.
1412,['car' 'highway' 'move'],cars moving fast on a highway
1413,['car' 'highway' 'move'],rows of slow moving toy cars on the highway
1414,['car' 'highway' 'move'],time lapse of a highway with cars moving by
1415,['airplane' 'cloud' 'wing'],wing of an airplane above the clouds
1416,['airplane' 'cloud' 'wing'],wing of an airplane passing over clouds at high altitude
1417,['bear' 'hill' 'walk'],brown bear walking behind a hill
1418,['bear' 'hill' 'walk'],A bear and her cubs walk down the hill.
1419,['bear' 'hill' 'walk'],an image of a bear that is walking up a hill
1420,['balcony' 'chair' 'table'],table and chairs on the balcony
1421,['balcony' 'chair' 'table'],"A bedroom with a table, chairs and a balcony."
1422,['balcony' 'chair' 'table'],chairs and table at balcony on vessel which floats in sea
1423,['beach' 'chair' 'tree'],palm tree and chair on a beach
1424,['beach' 'chair' 'tree'],coconut tree with deck chairs on beach
1425,['beach' 'chair' 'tree'],empty chairs between palm trees at beach
1426,['look' 'piece' 'pizza'],A good looking pizza has a piece missing.
1427,['look' 'piece' 'pizza'],A boy looking at his large piece of pizza.
1428,['look' 'piece' 'pizza'],a man with a piece of pizza as he looks at the camera
1429,['pond' 'swan' 'swim'],swans swimming on the pond
1430,['pond' 'swan' 'swim'],small swans swim in a pond .
1431,['pond' 'swan' 'swim'],young and old swans are swimming on a pond .
1432,['airplane' 'airport' 'stand'],airplanes stand at the airport .
1433,['airplane' 'airport' 'stand'],A couple of airplanes stand docked in an airport
1434,['airplane' 'airport' 'stand'],an airplane stands on the tarmac in the airport .
1435,['plain' 'walk' 'zebra'],A herd of zebras walking through a plain. 
1436,['plain' 'walk' 'zebra'],Two zebras walk outside on a grassy plain. 
1437,['plain' 'walk' 'zebra'],a wild zebra walks through the fertile plains
1438,['couple' 'spend' 'time'],A couple spends time at an eatery.
1439,['couple' 'spend' 'time'],A couple is spending time together.
1440,['couple' 'spend' 'time'],the couple had lived after time spent working .
1441,['grass' 'horse' 'meadow'],horses eating grass on a meadow
1442,['grass' 'horse' 'meadow'],horse grazing the grass in the meadow
1443,['grass' 'horse' 'meadow'],a lonely horse eat grass at the meadow
1444,['accident' 'car' 'damage'],damaged car in an accident
1445,['accident' 'car' 'damage'],accident damaged rear bumper on a car
1446,['accident' 'car' 'damage'],a car that was damaged in the accident
1447,['come' 'train' 'tunnel'],train coming out of a tunnel
1448,['come' 'train' 'tunnel'],train comes out from the tunnel
1449,['come' 'train' 'tunnel'],a train coming down a tunnel with its lights on
1450,['passenger' 'plane' 'tarmac'],a plane unloads its passengers on the tarmac
1451,['passenger' 'plane' 'tarmac'],Plane on tarmac with tunnel for passengers to disembark.
1452,['passenger' 'plane' 'tarmac'],An tarmac with planes that are allowing passengers to board.
1453,['bridge' 'city' 'train'],a city as the train crosses a bridge
1454,['bridge' 'city' 'train'],city and train on the bridge over the sea
1455,['bridge' 'city' 'train'],Trains on top of a bridge near the city.  
1456,['care' 'nurse' 'take'],nurse taking care of an old man
1457,['care' 'nurse' 'take'],A nurse is taking care of a patient.
1458,['care' 'nurse' 'take'],a nurse takes care of newborn babies at a hospital .
1459,['bouquet' 'create' 'flower'],a bridal bouquet created by flowers
1460,['bouquet' 'create' 'flower'],male florist creating a bouquet of flowers
1461,['bouquet' 'create' 'flower'],men are learning how bouquets of flowers creating .
1462,['station' 'stop' 'train'],A train at a stop at a train station.
1463,['station' 'stop' 'train'],A train pulled into the last stop of a station
1464,['station' 'stop' 'train'],The train has made an important stop at the station.
1465,['airport' 'passenger' 'plane'],passengers board a tiny plane at airport
1466,['airport' 'passenger' 'plane'],A plane about to be boarded by passengers at airport
1467,['airport' 'passenger' 'plane'],The plane is loading a few passengers in the airport.
1468,['airplane' 'airport' 'day'],airplane on a rainy day at an airport
1469,['airplane' 'airport' 'day'],airplanes at airport in the bright sunny day
1470,['airplane' 'airport' 'day'],airplane taking off from airport on cloudy day
1471,['city' 'run' 'train'],a train running to a city
1472,['city' 'run' 'train'],running trains in the city
1473,['city' 'run' 'train'],steam train which runs via a city
1474,['eat' 'grass' 'pair'],a pair of ducks eats grass
1475,['eat' 'grass' 'pair'],this is a pair of zebras eating grass
1476,['eat' 'grass' 'pair'],a pair of white swans eat grass near the shore
1477,['bear' 'grass' 'look'],a bear looking at something in the grass .
1478,['bear' 'grass' 'look'],A majestic bear looks out across a grass plain.
1479,['bear' 'grass' 'look'],Two bears resting in the grass and looking around.
1480,['art' 'piece' 'wall'],pieces of art on the wall
1481,['art' 'piece' 'wall'],accent wall with a piece of wall art
1482,['art' 'piece' 'wall'],would love this as a piece of art for my walls .
1483,['graze' 'herd' 'meadow'],a herd of goats grazing in the meadow .
1484,['graze' 'herd' 'meadow'],herd of horses is grazed on a green meadow
1485,['dish' 'food' 'type'],food in type of dish
1486,['dish' 'food' 'type'],carrot and type of dish with food
1487,['dish' 'food' 'type'],A few dishes of different types of food
1488,['curve' 'track' 'train'],a train heading for the curve in the track
1489,['curve' 'track' 'train'],Toy train rounding the curve on the tracks.
1490,['curve' 'track' 'train'],A train coming around a curve on train tracks.
1491,['graze' 'lamb' 'sheep'],sheep and lambs grazing in a field
1492,['graze' 'lamb' 'sheep'],grazing sheep with lambs at the coast
1493,['graze' 'lamb' 'sheep'],An adult sheep and baby lamb grazing on field edged with trees.
1494,['fly' 'land' 'plane'],the same plane that flew to and landed .
1495,['fly' 'land' 'plane'],a plane flying low as it gets ready to land 
1496,['fly' 'land' 'plane'],plane taking off or landing and flying over tower
1497,['chair' 'feature' 'room'],"A room featuring a couch, tv and chair."
1498,['chair' 'feature' 'room'],dining room featuring fabric on the chairs
1499,['chair' 'feature' 'room'],A dining room features both chairs and a bench. 
1500,['art' 'hang' 'wall'],art hanging on the wall
1501,['art' 'hang' 'wall'],... and art framed and hung on the walls .
1502,['art' 'hang' 'wall'],art hanging on the wall in a coastal living room
1503,['bathroom' 'tile' 'tub'],this is a bathroom and a tub with tile
1504,['bathroom' 'tile' 'tub'],your bathroom can be more than just a tub and tile .
1505,['bathroom' 'tile' 'tub'],An opening into an unfinished bathroom with a tub and tile.
1506,['float' 'lake' 'swan'],swans float on the lake
1507,['float' 'lake' 'swan'],graceful swans float in a lake
1508,['float' 'lake' 'swan'],a white swan is floating on a lake.
1509,['bathroom' 'room' 'shower'],each room has ensuite bathroom with shower
1510,['bathroom' 'room' 'shower'],how shower in bathroom just beside the room
1511,['airplane' 'stand' 'tarmac'],airplanes stand on the tarmac
1512,['airplane' 'stand' 'tarmac'],A man standing on the tarmac next to an airplane.
1513,['airplane' 'stand' 'tarmac'],An airplane with one wing stands motionless on the tarmac.
1514,['home' 'look' 'room'],a room looks much like a bedroom in an average home .
1515,['home' 'look' 'room'],printed pillows look fabulous in any room in your home .
1516,['home' 'look' 'room'],this room looks as if i was at home ... must be the rugs .
1517,['crowd' 'entertain' 'musician'],A musician is entertaining a crowd.
1518,['crowd' 'entertain' 'musician'],musicians entertain the crowd at the parade
1519,['crowd' 'entertain' 'musician'],a musician entertains a crowd with his whistle
1520,['church' 'glass' 'stain'],stained glass in a church
1521,['church' 'glass' 'stain'],stained glass on an old church
1522,['church' 'glass' 'stain'],stained glass inside the church
1523,['bridge' 'building' 'connect'],connecting bridges in a building
1524,['bridge' 'building' 'connect'],A bridge is connected to a nearby building. 
1525,['bridge' 'building' 'connect'],This is a bridge that is connecting two buildings. 
1526,['grass' 'look' 'sheep'],sheep chewing grass looking at camera .
1527,['grass' 'look' 'sheep'],Many sheep look distant in the green grass. 
1528,['grass' 'look' 'sheep'],"A small, black sheep looks away in the grass."
1529,['cattle' 'herd' 'pasture'],herd of cattle in a pasture
1530,['cattle' 'herd' 'pasture'],a herd of cattle being moved to new pastures
1531,['cattle' 'herd' 'pasture'],A herd of cattle grazing on a brush covered grassy pasture.
1532,['dip' 'toe' 'water'],A blond girl dips a toe in the water.
1533,['dip' 'toe' 'water'],a toe is tentatively dipped into water
1534,['dip' 'toe' 'water'],entertainer dipped her toes in the water .
1535,['distance' 'field' 'mountain'],fields with mountains in the distance .
1536,['distance' 'field' 'mountain'],There is a mountain in the distance past a field
1537,['distance' 'field' 'mountain'],round bales of hay on a golden field with mountains in the distance
1538,['herd' 'look' 'sheep'],girl looking at a herd of sheep
1539,['herd' 'look' 'sheep'],a nomad looks over his herd of sheep
1540,['aircraft' 'cloud' 'sky'],aircraft with clouds in the blue sky .
1541,['aircraft' 'cloud' 'sky'],clouds and sky from the window of an aircraft
1542,['aircraft' 'cloud' 'sky'],A jet aircraft in a sky filled with golden clouds.
1543,['bathroom' 'shower' 'vanity'],"A bathroom with a vanity, toilet and shower."
1544,['bathroom' 'shower' 'vanity'],white vanity that opens up to a bathroom with shower
1545,['bathroom' 'shower' 'vanity'],"Image of a vanity, shower and open window in a bathroom."
1546,['plain' 'stand' 'zebra'],A herd of zebras standing on the plains.
1547,['plain' 'stand' 'zebra'],Four zebras stand together in a grassy plain.
1548,['plain' 'stand' 'zebra'],Several black and white zebras stand on a grassy plain.
1549,['look' 'museum' 'painting'],man looking at paintings in a museum
1550,['look' 'museum' 'painting'],students look at the famous painting at the museum .
1551,['look' 'museum' 'painting'],Two people are in an art museum looking at a painting of roosters.
1552,['airport' 'jet' 'take'],jet taken in the skies over airport
1553,['airport' 'jet' 'take'],a JAL jet is taking off at an airport
1554,['airport' 'jet' 'take'],A passenger jet takes off in the distance from the airport
1555,['add' 'color' 'paint'],painted rock adding color to the rock garden .
1556,['add' 'color' 'paint'],painted airplanes add a splash of color to the sky
1557,['add' 'color' 'paint'],painted crown molding adds a great punch of color to this bathroom
1558,['bear' 'eat' 'salmon'],a grizzly bear eats salmon
1559,['bear' 'eat' 'salmon'],brown bear eating a salmon caught
1560,['bear' 'eat' 'salmon'],The bear is looking for some salmon to eat.
1561,['city' 'overlook' 'tower'],the tower overlooks the city .
1562,['city' 'overlook' 'tower'],overlooking a residential tower in the city
1563,['city' 'overlook' 'tower'],A clock tower overlooks the city and tells the time
1564,['city' 'come' 'train'],freight train coming into the city
1565,['city' 'come' 'train'],a long red train is coming through a city
1566,['city' 'come' 'train'],The train comes through the city at dusk.
1567,['bedroom' 'look' 'room'],the room as bedroom looking east
1568,['bedroom' 'look' 'room'],looking from bedroom to living room
1569,['bedroom' 'look' 'room'],make your bedroom look like a hotel room
1570,['clock' 'face' 'tower'],the face of clock on the tower
1571,['clock' 'face' 'tower'],A tall white tower with a clock on it's face.
1572,['clock' 'face' 'tower'],an old stone bell tower with a clock embedded in the face
1573,['cat' 'glass' 'look'],Looking at a cat threw a magnifying glass.
1574,['cat' 'glass' 'look'],Two cats looking at one another through glass
1575,['cat' 'glass' 'look'],there is a cat that is looking out of the glass
1576,['market' 'produce' 'sale'],local produce on sale at a market
1577,['market' 'produce' 'sale'],fresh produce for sale in a market
1578,['market' 'produce' 'sale'],fresh local produce for sale at the farmers market
1579,['apple' 'market' 'sale'],apples on sale at a market
1580,['apple' 'market' 'sale'],oranges and apples for sale in a market
1581,['apple' 'market' 'sale'],baskets of apples for sale outside the market .
1582,['laptop' 'look' 'student'],students look at content on a laptop
1583,['laptop' 'look' 'student'],Group of students looking at laptop with interesting image.
1584,['laptop' 'look' 'student'],male students in a dorm room looking at a laptop and laughing
1585,['fill' 'room' 'shelf'],The rooms and shelves are filled with things.
1586,['fill' 'room' 'shelf'],A room that is filled with movies on the shelf.
1587,['fill' 'room' 'shelf'],A room filled of shelves topped with lots of items.
1588,['beach' 'sea' 'umbrella'],umbrella on the tropical beach and sea
1589,['beach' 'sea' 'umbrella'],A dense sea of umbrellas on a crowded beach. 
1590,['beach' 'sea' 'umbrella'],Umbrellas are lining a beach in rows by the sea.
1591,['station' 'train' 'watch'],A train pulls into a station as people watch.
1592,['station' 'train' 'watch'],A red train leaving a train station with man watching.
1593,['station' 'train' 'watch'],People watching a modern commuter train come in to the station
1594,['building' 'move' 'train'],A blue train moving next to a building.
1595,['building' 'move' 'train'],a train in station moving besides the buildings
1596,['building' 'move' 'train'],moving train on elevated tracks within buildings
1597,['concert' 'fan' 'perform'],ABBA performing in concert for fans.
1598,['concert' 'fan' 'perform'],fans performs as part of the concert
1599,['concert' 'fan' 'perform'],singer with a fan as he performs in his concert
1600,['opponent' 'player' 'tackle'],A player is tackling his opponent
1601,['opponent' 'player' 'tackle'],player gets tackled by an opponent .
1602,['opponent' 'player' 'tackle'],A football player in red being tackled by opponents in white.
1603,['billow' 'building' 'smoke'],smoke billows from the building .
1604,['billow' 'building' 'smoke'],smoke billows from a building on a farm
1605,['billow' 'building' 'smoke'],thick black smoke is billowing from the building
1606,['entrance' 'guard' 'stand'],a guard stands near the entrance
1607,['entrance' 'guard' 'stand'],pelicans stand guard at the entrance
1608,['entrance' 'guard' 'stand'],entrance with soldiers standing guard
1609,['giraffe' 'watch' 'zoo'],a boy watches a giraffe at a zoo
1610,['giraffe' 'watch' 'zoo'],Two giraffes being watched at a zoo. 
1611,['giraffe' 'watch' 'zoo'],"A giraffe at the zoo, with people watching."
1612,['airport' 'land' 'runway'],landing runway of the airport
1613,['airport' 'land' 'runway'],aircraft is landing on the runway at airport
1614,['airport' 'land' 'runway'],An airplane landing on a runway in an airport
1615,['day' 'train' 'travel'],"A train traveling down a track, in the day."
1616,['day' 'train' 'travel'],People traveling in an open style train on a sunny day.
1617,['day' 'train' 'travel'],train travelling towards tourist attraction during a day
1618,['chef' 'cook' 'dish'],A chef cooks a vegetarian dish.
1619,['chef' 'cook' 'dish'],A chef is cooking several dishes.
1620,['race' 'skier' 'slope'],A skier racing down a slope.
1621,['race' 'skier' 'slope'],Two skiers racing each other down the slopes. 
1622,['race' 'skier' 'slope'],Many young skiers are racing down a snowy slope
1623,['day' 'park' 'spend'],man spend a day in the park
1624,['day' 'park' 'spend'],little siblings spending an autumn day in the park
1625,['day' 'park' 'spend'],A group of people are spending the day at the park.
1626,['cloud' 'sky' 'soar'],clouds the clouds soaring in the sky
1627,['cloud' 'sky' 'soar'],an airplane is soaring through a sky of clouds
1628,['cloud' 'sky' 'soar'],bald eagle soaring in a blue sky with light clouds
1629,['build' 'structure' 'work'],Two men working to build a steel structure.
1630,['build' 'structure' 'work'],Some men work on a low structure just being built.
1631,['build' 'structure' 'work'],People are working together to build some sort of structure
1632,['farm' 'graze' 'horse'],horses graze on a farm
1633,['farm' 'graze' 'horse'],horses grazing in the farm
1634,['farm' 'graze' 'horse'],There is a farm with horses grazing in it.
1635,['pizza' 'sauce' 'topping'],A pizza covered in sauce and lots of toppings.
1636,['pizza' 'sauce' 'topping'],An uncooked pizza with sauce and various toppings.
1637,['pizza' 'sauce' 'topping'],"Two pizzas with several toppings, sauce, cheese and meat. "
1638,['intersection' 'pedestrian' 'traffic'],Pedestrians near intersection with traffic in large city.
1639,['intersection' 'pedestrian' 'traffic'],A quiet intersection devoid of pedestrian or motor traffic.
1640,['intersection' 'pedestrian' 'traffic'],traffic and pedestrians move through theater at the intersection
1641,['bedroom' 'decorate' 'wall'],how to decorate a bedroom with grey walls
1642,['bedroom' 'decorate' 'wall'],greenish walls and bedding for the decorated bedroom
1643,['city' 'light' 'sky'],beam of light in the sky above a city
1644,['city' 'light' 'sky'],multiple bolts of lightning light up the sky over a city
1645,['city' 'light' 'sky'],vivid green lights from an aurora fill the sky over a city
1646,['station' 'train' 'tree'],Red train on tracks near tall trees at station.
1647,['station' 'train' 'tree'],a white and red train at a station and some trees
1648,['station' 'train' 'tree'],pink train station framed by palm trees and a vintage train
1649,['bear' 'bed' 'sleep'],cute bear sleeping in bed .
1650,['bear' 'bed' 'sleep'],a polar bear sleeps on a bed of snow
1651,['bear' 'bed' 'sleep'],girl sleeping on the bed with a teddy bear
1652,['care' 'patient' 'take'],A nurse is taking care of a patient.
1653,['care' 'patient' 'take'],nurses in the hospital taking care of a male patient .
1654,['care' 'patient' 'take'],Home health aides are taking care of a bedridden patient.
1655,['corn' 'field' 'harvest'],harvesting corn in a field .
1656,['corn' 'field' 'harvest'],A man harvests a field of fresh corn.
1657,['corn' 'field' 'harvest'],field of corn being harvested on an autumn day
1658,['herd' 'meadow' 'sheep'],a herd of sheep on meadow
1659,['herd' 'meadow' 'sheep'],herd of sheep in the meadow
1660,['herd' 'meadow' 'sheep'],herd of sheep at an idyllic meadow
1661,['couch' 'room' 'screen'],a room with a screen and a grey couch
1662,['couch' 'room' 'screen'],"A monitor screen, printer, couch and chair in the room"
1663,['couch' 'room' 'screen'],this living room has all white couches and a flat screen tv
1664,['room' 'stain' 'window'],stained glass windows in almost every room
1665,['room' 'stain' 'window'],living room with the grand stained glass window
1666,['room' 'stain' 'window'],A large room with a plush couch and stained glass windows.
1667,['flock' 'meadow' 'sheep'],flock of sheep in the meadow
1668,['flock' 'meadow' 'sheep'],flock of sheep grazing on a meadow .
1669,['flock' 'meadow' 'sheep'],flock of sheep lying in a lush green meadow
1670,['boat' 'marina' 'yacht'],yachts and boats in a marina
1671,['boat' 'marina' 'yacht'],An old marina full of yachts and motor boats
1672,['boat' 'marina' 'yacht'],yachts and fishing boats at the marina at dusk .
1673,['drive' 'station' 'train'],the train drives a station
1674,['drive' 'station' 'train'],a train driving out of a railway station
1675,['drive' 'station' 'train'],subway train drives up to the station close up
1676,['arrive' 'passenger' 'station'],passenger arriving at a station
1677,['arrive' 'passenger' 'station'],the passengers arrive at railway station .
1678,['arrive' 'passenger' 'station'],A train is arriving at the station for passengers.
1679,['rise' 'sky' 'tower'],tower rises into a blue sky
1680,['rise' 'sky' 'tower'],clock tower rises into the sky at dusk
1681,['rise' 'sky' 'tower'],Red brick tower rising above the trees into the sky.
1682,['cat' 'eat' 'mouse'],A cat eats a mouse.
1683,['cat' 'eat' 'mouse'],the cat ate the mouse
1684,['cat' 'eat' 'mouse'],some young cats eat a mouse
1685,['rock' 'splash' 'wave'],waves splash onto the rocks
1686,['rock' 'splash' 'wave'],A wave splashes the rocks as seagulls fly by.
1687,['rock' 'splash' 'wave'],waves splash around the base of an offshore rock
1688,['mount' 'screen' 'wall'],flat screen tv mounted on the wall
1689,['mount' 'screen' 'wall'],A small screen is mounted on a wall.
1690,['mount' 'screen' 'wall'],A television screen is mounted in the wall of the bathroom.
1691,['bell' 'clock' 'tower'],tower with bells and clock .
1692,['bell' 'clock' 'tower'],a clock on a tower with a bell
1693,['bell' 'clock' 'tower'],A tower has two bells and a large clock.
1694,['elephant' 'graze' 'herd'],A herd of elephants grazing in a field.
1695,['elephant' 'graze' 'herd'],alone elephant from the vast herds grazing in african savannah
1696,['flock' 'sheep' 'tree'],flock of sheep in a corral under the tree
1697,['flock' 'sheep' 'tree'],flock of sheep resting near the autumn colored trees
1698,['flock' 'sheep' 'tree'],flock of sheep on pasture browsing grass between the trees
1699,['school' 'student' 'walk'],A group of students walk to school.
1700,['school' 'student' 'walk'],students walk to school east into the rising sun down a city
1701,['boat' 'bridge' 'cross'],boats crossing under arch bridge
1702,['boat' 'bridge' 'cross'],fishing boats cross the rail bridge
1703,['boat' 'bridge' 'cross'],A gondola like boat crossing over a bridge
1704,['track' 'train' 'tunnel'],A train on tracks taken from a tunnel.
1705,['track' 'train' 'tunnel'],A train is going down the tracks by a tunnel.
1706,['track' 'train' 'tunnel'],railroad tracks and a train coming out of tunnel
1707,['boat' 'park' 'pier'],fishing boat parked at the pier
1708,['boat' 'park' 'pier'],A pier has many boats parked in it. 
1709,['boat' 'park' 'pier'],Boats are parked by the pier under the moon.
1710,['tourist' 'trail' 'walk'],tourists walk along a forest trail
1711,['tourist' 'trail' 'walk'],tourists walking in the natural trail
1712,['tourist' 'trail' 'walk'],a group of tourists are walking down a paved trail.
1713,['boat' 'city' 'sea'],A boat in the sea near the city 
1714,['boat' 'city' 'sea'],a city from the sea by boat or kayak
1715,['boat' 'city' 'sea'],small boat in the sea with city on horizon
1716,['eat' 'herd' 'sheep'],a herd of sheep on a hill eating grass 
1717,['eat' 'herd' 'sheep'],The large herd of sheep are eating from the grass. 
1718,['eat' 'herd' 'sheep'],a small herd of sheep eat some grass under the trees
1719,['field' 'lay' 'tree'],A bull laying down in a field by a tree.
1720,['field' 'lay' 'tree'],A black bear laying on top of a field near trees.
1721,['field' 'lay' 'tree'],Several sheep grazing and laying in a field with trees.
1722,['bed' 'breakfast' 'eat'],couple eating breakfast in the bed
1723,['bed' 'breakfast' 'eat'],A boy and girl eat breakfast in a bed.
1724,['bed' 'breakfast' 'eat'],portrait of a senior woman eating breakfast in bed
1725,['elephant' 'extend' 'trunk'],An elephant that is extending its trunk. 
1726,['elephant' 'extend' 'trunk'],A large gray elephant with its trunk extended
1727,['elephant' 'extend' 'trunk'],An elephant extends its trunk out to a man.  
1728,['hang' 'hat' 'wall'],hats hung on the wall
1729,['hang' 'hat' 'wall'],A rack of hats hanging from a wall.
1730,['hang' 'hat' 'wall'],hard hat hanging as a trophy on wall
1731,['lead' 'track' 'train'],train tracks leading into the mist
1732,['lead' 'track' 'train'],train tracks leading to a darkened sky
1733,['lead' 'track' 'train'],The orange trains are on tracks leading away from the city.
1734,['building' 'fire' 'smoke'],smoke rises from a building on fire .
1735,['building' 'fire' 'smoke'],black smoke coming out of a building on fire
1736,['building' 'fire' 'smoke'],fire on a building and smoke is all over the place
1737,['balcony' 'look' 'room'],A hotel room looking out on a balcony
1738,['balcony' 'look' 'room'],looking at balcony from inside the room
1739,['balcony' 'look' 'room'],the balcony looks over the foyer and great room .
1740,['bedroom' 'decorate' 'style'],bedroom decorated in the style
1741,['bedroom' 'decorate' 'style'],A small bedroom decorated in an antique style
1742,['bedroom' 'decorate' 'style'],second bedroom brightly decorated in a style with all white bedding
1743,['nurse' 'patient' 'talk'],nurse talking to a patient
1744,['nurse' 'patient' 'talk'],nurse talking with her patient in the living room
1745,['nurse' 'patient' 'talk'],nurse checking on her sick patient and talking to her at the hospital
1746,['cyclist' 'race' 'road'],cyclists racing along the road .
1747,['cyclist' 'race' 'road'],Many cyclists race down a road in uniform.
1748,['cyclist' 'race' 'road'],Two cyclists are racing on a country road.
1749,['airplane' 'come' 'sky'],A small airplane coming in to land in a blue sky
1750,['airplane' 'come' 'sky'],An airplane with smoke coming out is in the sky.
1751,['airplane' 'come' 'sky'],A large white airplane coming downwards from the sky.
1752,['bridge' 'city' 'pass'],bridge passes through the city
1753,['bridge' 'city' 'pass'],tower bridge open for a city to pass through leaving
1754,['bridge' 'city' 'pass'],time lapse of traffic passing under a bridge in the city
1755,['crop' 'farmer' 'harvest'],a farmer is harvesting his crop
1756,['crop' 'farmer' 'harvest'],a farmer with newly harvested crops
1757,['crop' 'farmer' 'harvest'],The farmer is getting ready to harvest some crops.
1758,['grass' 'graze' 'meadow'],horse grazing the grass in the meadow
1759,['grass' 'graze' 'meadow'],Many horses grazing the grass along a meadow.
1760,['grass' 'graze' 'meadow'],Shaggy cattle with horns graze on grass in a meadow.
1761,['instrument' 'singe' 'stage'],People are playing instruments and singing on a stage.
1762,['instrument' 'singe' 'stage'],The man is singing on stage while others play instruments.
1763,['hiker' 'rest' 'take'],hiker takes a rest on peak
1764,['hiker' 'rest' 'take'],hikers taking a rest at fjord
1765,['hiker' 'rest' 'take'],Some hikers are taking a rest on the rocks.
1766,['building' 'rise' 'tower'],building and the tower rises
1767,['building' 'rise' 'tower'],A classic clock tower rising from a modern building
1768,['building' 'rise' 'tower'],A bell tower rising high above an old brick building.
1769,['grape' 'vine' 'vineyard'],vine and grapes in a vineyard
1770,['grape' 'vine' 'vineyard'],grapes grow on vines at a vineyard
1771,['grape' 'vine' 'vineyard'],man inspecting black grapes on the vine in vineyard
1772,['block' 'road' 'sheep'],sheep blocking the road in
1773,['block' 'road' 'sheep'],A herd of sheep are blocking the road.
1774,['block' 'road' 'sheep'],sheep and goats blocking a bridge to mountain road
1775,['station' 'take' 'train'],Two trains taking off from a station with cameras. 
1776,['station' 'take' 'train'],at the railway station where many trains are taking off
1777,['station' 'take' 'train'],we then got on a train that took us to the main station .
1778,['drink' 'party' 'serve'],A boy is serving drinks at a party.
1779,['drink' 'party' 'serve'],drinks are served during the party .
1780,['drink' 'party' 'serve'],serve drinks in style at your next party .
1781,['operate' 'patient' 'surgeon'],surgeons operate on a patient
1782,['operate' 'patient' 'surgeon'],close up of surgeon operating a patient
1783,['operate' 'patient' 'surgeon'],surgeons operating on a patient in the medical block
1784,['cook' 'eat' 'pizza'],A girl eats cooked pizza.
1785,['cook' 'eat' 'pizza'],The pizza is cooked is ready to be eaten
1786,['cook' 'eat' 'pizza'],a little girl eating and cooking some sort of pizza.
1787,['bathroom' 'vanity' 'wall'],A bathroom with a fancy vanity against the wall.
1788,['bathroom' 'vanity' 'wall'],"small bathroom with white toilet, walls, and vanity"
1789,['bathroom' 'vanity' 'wall'],concrete walls and vanity for the minimalist bathroom
1790,['cyclist' 'forest' 'ride'],cyclists riding in a forest
1791,['cyclist' 'forest' 'ride'],cyclist rides through the forest
1792,['cyclist' 'forest' 'ride'],Cyclists ride through a forest while onlookers cheer.
1793,['hay' 'horse' 'wagon'],A horse is pulling a wagon full of hay.
1794,['hay' 'horse' 'wagon'],Three horses are pulling a wagon covered in hay
1795,['pillow' 'room' 'sofa'],living room with red sofa and pillows .
1796,['pillow' 'room' 'sofa'],A woman arranging pillows on a sofa in a living room.
1797,['pillow' 'room' 'sofa'],The large living room has two sofas covered with pillows.
1798,['city' 'light' 'shine'],lights shine in a city
1799,['city' 'light' 'shine'],late evening light shines onto the city
1800,['city' 'light' 'shine'],the lights shine over the city once again
1801,['light' 'shine' 'space'],star shine the light in the space
1802,['light' 'shine' 'space'],as seen from space the lights shine bright
1803,['light' 'shine' 'space'],natural light shines on this tub and nearby space
1804,['airplane' 'flight' 'sky'],small airplane in flight in a cloudy sky
1805,['airplane' 'flight' 'sky'],An airplane is in flight in the blue sky.
1806,['airplane' 'flight' 'sky'],An airplane taking off for flight into the sky. 
1807,['exam' 'student' 'study'],a student studying for exams
1808,['exam' 'student' 'study'],The students were studying for their final exams
1809,['exam' 'student' 'study'],A group of college students studying for an exam.
1810,['car' 'city' 'highway'],car running on a highway in city
1811,['car' 'city' 'highway'],the highway around a city with cars
1812,['car' 'city' 'highway'],cars is running out of the city by using highway
1813,['build' 'shed' 'work'],People working together to build a shed.
1814,['build' 'shed' 'work'],A man is working hard building a shed from scratch.
1815,['build' 'shed' 'work'],A group of people work outside in yard building a shed.
1816,['rise' 'sky' 'tree'],tree rising to the sky
1817,['rise' 'sky' 'tree'],palm trees rise toward a blue sky .
1818,['rise' 'sky' 'tree'],Red brick tower rising above the trees into the sky.
1819,['city' 'harbor' 'ship'],a city and the harbor from a ship
1820,['city' 'harbor' 'ship'],cruise ship in the outer harbor of german city
1821,['city' 'harbor' 'ship'],A harbor with dozens of ships in a crowded city
1822,['beach' 'chair' 'fold'],folding chairs on a beach
1823,['beach' 'chair' 'fold'],folding chair at the beach of the sea
1824,['beach' 'chair' 'fold'],stack of folded lounge chairs on the beach
1825,['airplane' 'fly' 'ground'],the airplane fly above the ground .
1826,['airplane' 'fly' 'ground'],A passenger airplane flies low to the ground.
1827,['airplane' 'fly' 'ground'],An airplane is flying very close to the ground.
1828,['building' 'city' 'sky'],buildings in the city with stormy sky
1829,['building' 'city' 'sky'],A city full of buildings under a smoggy sky.
1830,['building' 'city' 'sky'],building and clouds against blue sky seen from a city
